BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2022-08-29,АквилонЛP1,RU000A104107,45.0,744291.7,94.21,94.72,94.51,94.51,4.72,94.33,17.89,94.22,789.0,94.33,94.33,94.51,744291.7,744291.7,744291.7,2024-11-12,598.0,18.02,,,13.25,33.03,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ДОМ 1P-9R,RU000A104123,13.0,37112.4,99.94,100.34,100.34,100.34,24.5,100.3,6.98,99.94,37.0,,100.05,100.34,0.0,49889730.3,0.0,2022-11-15,78.0,7.18,,,8.6,42.88,,2022-08-29,1000.0,SUR,,,6.7088,,RUB,3
TQCB,2022-08-29,Сегежа2P1R,RU000A1041B2,118.0,6122386.9,99.61,100.0,99.96,99.96,27.8,99.94,10.1,99.98,6126.0,99.94,99.94,99.96,6122386.9,6122386.9,6122386.9,2036-10-29,726.0,10.11,,,9.85,49.12,2024-11-13,2022-08-29,1000.0,SUR,,10.0286,,2024-11-18,RUB,3
TQCB,2022-08-29,ИАДОМ 1P13,RU000A1041Q0,12.0,21446.71,99.41,99.59,99.41,99.41,0.2,99.5,8.5632,99.52,25.0,,99.76,99.41,0.0,577578.9,0.0,2031-10-28,2363.0,0.0,,,8.65,6.33,2031-10-28,2022-08-29,862.21,SUR,,,,,RUB,3
TQCB,2022-08-29,ВЭБP-31,RU000A1042W6,33.0,157433.5,99.42,99.78,99.75,99.75,8.77,99.37,,99.7,158.0,,99.52,99.75,0.0,828984.2,0.0,2028-10-18,,0.0,,,0.0,0.0,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ВСК 1P-02R,RU000A104362,12.0,69352.9,99.0,99.51,99.5,99.5,25.38,99.08,9.92,99.51,70.0,,99.21,99.5,0.0,504993.4,0.0,2026-11-17,1271.0,10.05,,,9.55,47.62,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,ТАЛАНФБ1P3,RU000A1043B8,33.0,150846.2,97.72,98.94,97.9,97.9,2.49,97.95,14.87,97.96,154.0,,97.98,97.9,0.0,570256.7,0.0,2025-05-19,720.0,14.84,,,13.0,32.41,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,Новосиб 22,RU000A1043E2,5.0,212055.9,101.13,102.0,101.99,101.99,9.15,101.95,8.79,101.13,208.0,,101.81,101.99,0.0,510090.0,0.0,2028-11-14,1425.0,8.8,,,9.03,22.51,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQCB,2022-08-29,НижгорОб16,RU000A1043K9,5.0,13397.0,102.9,103.5,103.5,103.5,1.52,103.05,8.51,103.01,13.0,,103.28,103.5,0.0,540136.4,0.0,2027-05-26,1282.0,8.64,,,9.25,23.06,,2022-08-29,1000.0,SUR,,,,,RUB,3
TQIR,2022-08-29,Kviku1P1,RU000A1043L7,42.0,321799.0,86.4,86.82,86.4,86.41,3.27,86.51,22.8,86.52,372.0,,86.41,86.41,0.0,508952.3,0.0,2025-05-06,717.0,22.72,,,13.25,10.89,,2022-08-29,1000.0,SUR,,,,,RUB,3
