BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQIF,2022-10-14,ЗПИФРД,RU000A102N77,31.0,6793060.0,90360.0,87600.0,90600.0,88040.0,89380.0,88040.0,76.0,89380.0,89380.0,88040.0,6793060.0,6793060.0,6793060.0,2511439.39,3
TQIF,2022-10-14,ФондсубUSD,RU000A102PE0,5.0,753840.0,4130.0,3250.0,4130.0,3340.0,3340.0,3250.0,226.0,3850.0,3750.0,3340.0,1550460.0,1321340.0,1550460.0,324165.76,3
TQIF,2022-10-14,ФондсубEUR,RU000A102PF7,9.0,852520.0,3060.0,2620.0,3080.0,3080.0,2700.0,3080.0,315.0,2780.0,2740.0,3080.0,936120.0,890520.0,936120.0,79373.94,3
TQPI,2022-10-14,СФНАрБиз7,RU000A1034U7,4.0,331740.0,82030.0,82030.0,83250.0,83240.0,82940.0,83220.0,4.0,87040.0,87040.0,83240.0,1392640.0,1392640.0,1392640.0,1009790.45,3
TQIF,2022-10-14,РенДохПРО,RU000A103B62,8.0,317680.5,909.5,909.5,912.5,912.5,910.5,912.5,349.0,909.0,909.0,912.5,571803.0,567265.5,571803.0,859146.58,3
TQIF,2022-10-14,ПАРУС-СБЛ,RU000A104172,34.0,243999.4,1000.0,999.9,1000.0,1000.0,1000.0,1000.0,244.0,,1000.0,1000.0,0.0,9913999.2,0.0,1506162.92,3
TQBR,2022-10-14,РУСАЛ ао,RUAL,43407.0,667779045.3,35.4,33.63,35.4,33.805,34.175,33.73,19530940.0,34.225,34.225,33.805,611348839.85,611348839.85,611348839.85,0.0,3
TQBR,2022-10-14,Русгрэйн,RUGR,975.0,1625142.38,14.27,14.03,14.548,14.32,14.264,14.32,113930.0,14.264,14.264,14.32,1625142.38,1625142.38,1625142.38,0.0,3
TQTD,2022-10-14,RUMM ETF,RUMM,3.0,933384.75,1.6499,1.6499,1.65,1.65,1.65,1.65,565700.0,104.8521,104.8599,1.65,90529314.28,90326320.03,90529314.28,1192782.33,3
TQBR,2022-10-14,ИКРУСС-ИНВ,RUSI,67.0,302303.0,43.8,43.4,44.7,43.9,44.0,43.9,6870.0,,43.8,43.9,0.0,510259.0,0.0,0.0,3
TQBR,2022-10-14,РязЭнСб,RZSB,29.0,198472.0,15.66,15.66,16.18,16.0,15.88,16.0,12500.0,,15.94,16.0,0.0,500720.0,0.0,0.0,3
TQBR,2022-10-14,СамарЭн-ао,SAGO,30.0,91454.0,1.134,1.12,1.156,1.152,1.13,1.152,81000.0,,1.14,1.152,0.0,506234.0,0.0,0.0,3
TQBR,2022-10-14,СамарЭн-ап,SAGOP,15.0,18680.0,1.168,1.166,1.18,1.18,1.168,1.18,16000.0,,1.11,1.18,0.0,600026.0,0.0,0.0,3
TQBR,2022-10-14,СаратЭн-ао,SARE,20.0,80800.0,0.1072,0.1038,0.1072,0.105,0.105,0.105,770000.0,,0.1056,0.105,0.0,650736.0,0.0,0.0,3
TQBR,2022-10-14,СаратЭн-ап,SAREP,1.0,986.0,0.0986,0.0986,0.0986,0.0986,0.0986,0.0986,10000.0,,0.0982,0.0986,0.0,500562.0,0.0,0.0,3
